FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-12
M,Monthly,AFG,Afghanistan,WB_BPS_ACCESS,Share of establishments that received or expect to receive public assistance in the near future (Business Pulse Surveys),PT,Percentage,WB_BPS_SIZE_L,Size: Large (100+),_Z,Not Applicable,_Z,Not Applicable,WB_BPS,COVID-19 Business Pulse Surveys,0,Units,A,Normal value,PU,Public,,,2.38,,,,,,,,,,,,,,,
M,Monthly,AFG,Afghanistan,WB_BPS_ACCESS,Share of establishments that received or expect to receive public assistance in the near future (Business Pulse Surveys),PT,Percentage,WB_BPS_SIZE_M,Size: Medium (20-99),_Z,Not Applicable,_Z,Not Applicable,WB_BPS,COVID-19 Business Pulse Surveys,0,Units,A,Normal value,PU,Public,,,1.43,,,,,,,,,,,,,,,
M,Monthly,AFG,Afghanistan,WB_BPS_ACCESS,Share of establishments that received or expect to receive public assistance in the near future (Business Pulse Surveys),PT,Percentage,WB_BPS_SIZE_S,Size: Small (5-19),_Z,Not Applicable,_Z,Not Applicable,WB_BPS,COVID-19 Business Pulse Surveys,0,Units,A,Normal value,PU,Public,,,1.96,,,,,,,,,,,,,,,
M,Monthly,AFG,Afghanistan,WB_BPS_ACCESS,Share of establishments that received or expect to receive public assistance in the near future (Business Pulse Surveys),PT,Percentage,_Z,Not Applicable,WB_BPS_SECTOR_MGF,Sector: Manufacturing,_Z,Not Applicable,WB_BPS,COVID-19 Business Pulse Surveys,0,Units,A,Normal value,PU,Public,,,0.7,,,,,,,,,,,,,,,
M,Monthly,AFG,Afghanistan,WB_BPS_ACCESS,Share of establishments that received or expect to receive public assistance in the near future (Business Pulse Surveys),PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,WB_BPS,COVID-19 Business Pulse Surveys,0,Units,A,Normal value,PU,Public,,,1.81,,,,,,,,,,,,,,,
M,Monthly,AFG,Afghanistan,WB_BPS_ARREARS,Share of establishments in arrears or expect to fall in next 6 months (Business Pulse Surveys),PT,Percentage,WB_BPS_SIZE_L,Size: Large (100+),_Z,Not Applicable,_Z,Not Applicable,WB_BPS,COVID-19 Business Pulse Surveys,0,Units,A,Normal value,PU,Public,,,73.81,,,,,,,,,,,,,,,
M,Monthly,AFG,Afghanistan,WB_BPS_ARREARS,Share of establishments in arrears or expect to fall in next 6 months (Business Pulse Surveys),PT,Percentage,WB_BPS_SIZE_M,Size: Medium (20-99),_Z,Not Applicable,_Z,Not Applicable,WB_BPS,COVID-19 Business Pulse Surveys,0,Units,A,Normal value,PU,Public,,,75.71,,,,,,,,,,,,,,,
M,Monthly,AFG,Afghanistan,WB_BPS_ARREARS,Share of establishments in arrears or expect to fall in next 6 months (Business Pulse Surveys),PT,Percentage,WB_BPS_SIZE_S,Size: Small (5-19),_Z,Not Applicable,_Z,Not Applicable,WB_BPS,COVID-19 Business Pulse Surveys,0,Units,A,Normal value,PU,Public,,,73.04,,,,,,,,,,,,,,,
M,Monthly,AFG,Afghanistan,WB_BPS_ARREARS,Share of establishments in arrears or expect to fall in next 6 months (Business Pulse Surveys),PT,Percentage,_Z,Not Applicable,WB_BPS_SECTOR_AGR,Sector: Agriculture,_Z,Not Applicable,WB_BPS,COVID-19 Business Pulse Surveys,0,Units,A,Normal value,PU,Public,,,64.71,,,,,,,,,,,,,,,
M,Monthly,AFG,Afghanistan,WB_BPS_ARREARS,Share of establishments in arrears or expect to fall in next 6 months (Business Pulse Surveys),PT,Percentage,_Z,Not Applicable,WB_BPS_SECTOR_MGF,Sector: Manufacturing,_Z,Not Applicable,WB_BPS,COVID-19 Business Pulse Surveys,0,Units,A,Normal value,PU,Public,,,67.61,,,,,,,,,,,,,,,
M,Monthly,AFG,Afghanistan,WB_BPS_ARREARS,Share of establishments in arrears or expect to fall in next 6 months (Business Pulse Surveys),PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,WB_BPS,COVID-19 Business Pulse Surveys,0,Units,A,Normal value,PU,Public,,,74.09,,,,,,,,,,,,,,,
M,Monthly,AFG,Afghanistan,WB_BPS_CHANGE_SALES,Average percentage change in monthly sales compared to 1 year before the interview (Business Pulse Surveys),PT,Percentage,WB_BPS_SIZE_L,Size: Large (100+),_Z,Not Applicable,_Z,Not Applicable,WB_BPS,COVID-19 Business Pulse Surveys,0,Units,A,Normal value,PU,Public,,,-60.55,,,,,,,,,,,,,,,
M,Monthly,AFG,Afghanistan,WB_BPS_CHANGE_SALES,Average percentage change in monthly sales compared to 1 year before the interview (Business Pulse Surveys),PT,Percentage,WB_BPS_SIZE_M,Size: Medium (20-99),_Z,Not Applicable,_Z,Not Applicable,WB_BPS,COVID-19 Business Pulse Surveys,0,Units,A,Normal value,PU,Public,,,-69.11,,,,,,,,,,,,,,,
M,Monthly,AFG,Afghanistan,WB_BPS_CHANGE_SALES,Average percentage change in monthly sales compared to 1 year before the interview (Business Pulse Surveys),PT,Percentage,WB_BPS_SIZE_S,Size: Small (5-19),_Z,Not Applicable,_Z,Not Applicable,WB_BPS,COVID-19 Business Pulse Surveys,0,Units,A,Normal value,PU,Public,,,-75.21,,,,,,,,,,,,,,,
M,Monthly,AFG,Afghanistan,WB_BPS_CHANGE_SALES,Average percentage change in monthly sales compared to 1 year before the interview (Business Pulse Surveys),PT,Percentage,_Z,Not Applicable,WB_BPS_SECTOR_AGR,Sector: Agriculture,_Z,Not Applicable,WB_BPS,COVID-19 Business Pulse Surveys,0,Units,A,Normal value,PU,Public,,,-66.25,,,,,,,,,,,,,,,
M,Monthly,AFG,Afghanistan,WB_BPS_CHANGE_SALES,Average percentage change in monthly sales compared to 1 year before the interview (Business Pulse Surveys),PT,Percentage,_Z,Not Applicable,WB_BPS_SECTOR_MGF,Sector: Manufacturing,_Z,Not Applicable,WB_BPS,COVID-19 Business Pulse Surveys,0,Units,A,Normal value,PU,Public,,,-69.5,,,,,,,,,,,,,,,
M,Monthly,AFG,Afghanistan,WB_BPS_CHANGE_SALES,Average percentage change in monthly sales compared to 1 year before the interview (Business Pulse Surveys),PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,WB_BPS,COVID-19 Business Pulse Surveys,0,Units,A,Normal value,PU,Public,,,-71.39,,,,,,,,,,,,,,,
M,Monthly,AFG,Afghanistan,WB_BPS_DROPSALES,Percentage of establishments with decreased monthly sales year before the interview (Business Pulse Surveys),PT,Percentage,WB_BPS_SIZE_L,Size: Large (100+),_Z,Not Applicable,_Z,Not Applicable,WB_BPS,COVID-19 Business Pulse Surveys,0,Units,A,Normal value,PU,Public,,,87.5,,,,,,,,,,,,,,,
M,Monthly,AFG,Afghanistan,WB_BPS_DROPSALES,Percentage of establishments with decreased monthly sales year before the interview (Business Pulse Surveys),PT,Percentage,WB_BPS_SIZE_M,Size: Medium (20-99),_Z,Not Applicable,_Z,Not Applicable,WB_BPS,COVID-19 Business Pulse Surveys,0,Units,A,Normal value,PU,Public,,,92.65,,,,,,,,,,,,,,,
M,Monthly,AFG,Afghanistan,WB_BPS_DROPSALES,Percentage of establishments with decreased monthly sales year before the interview (Business Pulse Surveys),PT,Percentage,WB_BPS_SIZE_S,Size: Small (5-19),_Z,Not Applicable,_Z,Not Applicable,WB_BPS,COVID-19 Business Pulse Surveys,0,Units,A,Normal value,PU,Public,,,93.33,,,,,,,,,,,,,,,
M,Monthly,AFG,Afghanistan,WB_BPS_DROPSALES,Percentage of establishments with decreased monthly sales year before the interview (Business Pulse Surveys),PT,Percentage,_Z,Not Applicable,WB_BPS_SECTOR_AGR,Sector: Agriculture,_Z,Not Applicable,WB_BPS,COVID-19 Business Pulse Surveys,0,Units,A,Normal value,PU,Public,,,87.5,,,,,,,,,,,,,,,
M,Monthly,AFG,Afghanistan,WB_BPS_DROPSALES,Percentage of establishments with decreased monthly sales year before the interview (Business Pulse Surveys),PT,Percentage,_Z,Not Applicable,WB_BPS_SECTOR_MGF,Sector: Manufacturing,_Z,Not Applicable,WB_BPS,COVID-19 Business Pulse Surveys,0,Units,A,Normal value,PU,Public,,,91.04,,,,,,,,,,,,,,,
M,Monthly,AFG,Afghanistan,WB_BPS_DROPSALES,Percentage of establishments with decreased monthly sales year before the interview (Business Pulse Surveys),PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,WB_BPS,COVID-19 Business Pulse Surveys,0,Units,A,Normal value,PU,Public,,,92.45,,,,,,,,,,,,,,,
M,Monthly,AFG,Afghanistan,WB_BPS_EXPECTATIONS_SALES,Weighted average of sales expectation in 6 months relative to 2019 (Business Pulse Surveys),NUMBER,Number,WB_BPS_SIZE_L,Size: Large (100+),_Z,Not Applicable,_Z,Not Applicable,WB_BPS,COVID-19 Business Pulse Surveys,0,Units,A,Normal value,PU,Public,,,-21.49,,,,,,,,,,,,,,,
