REF_AREA,REF_AREA_LABEL,TIME_PERIOD,time_date,STRATUM,STRATUM_LABEL,WB_BPS_ACCESS,WB_BPS_ARREARS,WB_BPS_CHANGE_SALES,WB_BPS_DROPSALES,WB_BPS_EXPECTATIONS_SALES,WB_BPS_PLANTS_ABSENCE,WB_BPS_PLANTS_FIRED,WB_BPS_PLANTS_HOURS_CUT,WB_BPS_PLANTS_WAGES_CUT,WB_BPS_RCV_POLICY,WB_BPS_REMOTE_WORKERS,WB_BPS_USE_DIGITAL,WB_BPS_ONLINE_SALES,WB_BPS_ORDERS_CANCEL,WB_BPS_STOP_SELL,WB_BPS_PROTOCOL_1,WB_BPS_PROTOCOL_2,WB_BPS_PROTOCOL_3,WB_BPS_PROTOCOL_4,WB_BPS_PROTOCOL_5,protocols_mean,ACI,change_sales_stress,CSI,ACI_l1,support_l1
AFG,Afghanistan,2020-06,2020-06-01,WB_BPS_SIZE_L,Size: Large (100+),2.38,73.81,-60.55,87.5,-21.49,80.95,35.71,26.19,16.67,2.38,5.45,50,,,,,,,,,,-0.282579087911114,60.55,1.0348197865798,,
AFG,Afghanistan,2020-06,2020-06-01,WB_BPS_SIZE_M,Size: Medium (20-99),1.43,75.71,-69.11,92.65,-31.37,69.29,42.14,20,17.14,1.43,2.99,49.29,22.82,,,,,,,,,-0.202096850995776,69.11,1.0945958027423,,
AFG,Afghanistan,2020-06,2020-06-01,WB_BPS_SIZE_S,Size: Small (5-19),1.96,73.04,-75.21,93.33,-28.1,67.16,34.8,13.73,16.18,1.47,0.72,50.49,31.74,,,,,,,,,-0.0439920791278193,75.21,0.97964363000163,,
ARG,Argentina,2021-06,2021-06-01,WB_BPS_SIZE_L,Size: Large (100+),67.21,16.75,7.94,37.13,13.7,50.77,8.38,16.35,10.92,42.01,9.42,70.21,15.81,26.48,3.83,,,,,,,0.220989182706324,-7.94,-0.949497595498379,,
ARG,Argentina,2021-06,2021-06-01,WB_BPS_SIZE_M,Size: Medium (20-99),64.83,9.85,9.41,39.12,7.37,32.09,4.1,13.96,5.1,38.085,10.26,63.65,16.56,19.45,13.6,,,,,,,0.167300801262948,-9.41,-1.14887367623103,,
ARG,Argentina,2021-06,2021-06-01,WB_BPS_SIZE_MI,Size: Micro (0-4),30.4,18.27,-10.3,51.83,8.06,8.64,0.08,8.16,4.44,12.365,,,,23.56,,,,,,,,,10.3,-1.00843110568813,,
ARG,Argentina,2021-06,2021-06-01,WB_BPS_SIZE_S,Size: Small (5-19),66.32,17.48,-5.46,47.51,4.59,18.43,3.47,17.08,7.24,36.165,9.46,56.74,20.65,21.55,22.76,,,,,,,0.127509533868946,5.46,-0.937192578072041,,
BEN,Benin,2021-06,2021-06-01,WB_BPS_SIZE_L,Size: Large (100+),21.28,,2.42,34.21,,45.24,13.95,2.5,5,8.086,6.43,55.32,,,,,,,,,,-0.0920110521176683,-2.42,-0.956645858227683,,
BEN,Benin,2021-06,2021-06-01,WB_BPS_SIZE_M,Size: Medium (20-99),6.1,,1.38,25.32,,25.61,13.41,9.76,8.54,2.196,4.99,53.66,,,,,,,,,,-0.220860462370604,-1.38,-1.09143859890494,,
BEN,Benin,2021-06,2021-06-01,WB_BPS_SIZE_MI,Size: Micro (0-4),3.18,,-8.62,34.09,,1.17,1.34,3.52,1.85,0.97,,,,,,,,,,,,,8.62,-1.39384827177126,,
