REF_AREA,REF_AREA_LABEL,TIME_PERIOD,time_date,STRATUM,STRATUM_LABEL,WB_BPS_ARREARS,WB_BPS_CHANGE_SALES,WB_BPS_DROPSALES,WB_BPS_EXPECTATIONS_SALES,WB_BPS_PLANTS_ABSENCE,WB_BPS_PLANTS_FIRED,WB_BPS_PLANTS_HOURS_CUT,WB_BPS_PLANTS_WAGES_CUT,WB_BPS_REMOTE_WORKERS,WB_BPS_USE_DIGITAL,WB_BPS_ACCESS,WB_BPS_ONLINE_SALES,WB_BPS_RCV_POLICY,WB_BPS_ORDERS_CANCEL,WB_BPS_STOP_SELL,WB_BPS_PROTOCOL_1,WB_BPS_PROTOCOL_2,WB_BPS_PROTOCOL_3,WB_BPS_PROTOCOL_4,WB_BPS_PROTOCOL_5,protocols_mean,ACI,change_sales_stress,CSI,ACI_l1,support_l1
AFG,Afghanistan,2020-06,2020-06-01,WB_BPS_SECTOR_AGR,Sector: Agriculture,64.71,-66.25,87.5,-17.36,47.06,38.24,20.59,11.76,0.91,61.76,,,,,,,,,,,,-0.0516965725494402,66.25,0.843565649295234,,
AFG,Afghanistan,2020-06,2020-06-01,WB_BPS_SECTOR_MGF,Sector: Manufacturing,67.61,-69.5,91.04,-24.99,64.79,45.07,15.49,12.68,2.37,40.85,0.7,24.53,0.7,,,,,,,,,-0.172283880089822,69.5,1.11173588150035,,
ARG,Argentina,2021-06,2021-06-01,WB_BPS_SECTOR_MGF,Sector: Manufacturing,22.27,7.55,38.66,7.14,14.49,1.66,12.7,4.8,1.87,40.81,52.38,13.82,29.605,29.77,34.01,,,,,,,-0.427629977504261,-7.55,-0.976582997358931,,
ARG,Argentina,2021-06,2021-06-01,WB_BPS_SECTOR_OS,Sector: Other Services,15.62,-7.32,45.84,6.88,15.72,1.96,7.38,6.17,25.21,57.25,41.06,24.17,20.735,10.31,28.87,,,,,,,0.981335160188938,7.32,-1.05007560497607,,
ARG,Argentina,2021-06,2021-06-01,WB_BPS_SECTOR_RET,Sector: Retail,16.65,-12.91,55.8,7.2,12.19,1.07,12.89,5.12,4.55,68.88,41.76,19.49,18.69,27.08,18.47,,,,,,,0.236442196041863,12.91,-0.94187959576892,,
BEN,Benin,2021-06,2021-06-01,WB_BPS_SECTOR_MGF,Sector: Manufacturing,,-11.74,41.46,,3.76,2.83,6.6,6.13,3.57,33.33,4.65,,1.862,,,,,,,,,-0.551053886357598,11.74,-1.16641094704118,,
BEN,Benin,2021-06,2021-06-01,WB_BPS_SECTOR_OS,Sector: Other Services,,-4.45,28.76,,10.86,5.73,4.79,3.19,5.05,56.19,5.71,,2.295,,,,,,,,,0.0663752069602095,4.45,-1.28439358093012,,
BEN,Benin,2021-06,2021-06-01,WB_BPS_SECTOR_RET,Sector: Retail,,-5.68,31.88,,8.87,5.32,6.03,4.26,1.75,40,1.76,,0.562,,,,,,,,,-0.505250064315327,5.68,-1.24810582731018,,
BFA,Burkina Faso,2020-10,2020-10-01,WB_BPS_SECTOR_AGR,Sector: Agriculture,38.17,,,,8.57,8.53,13.12,3.49,,,8.22,,4.58,,,,,,,,,,,-0.696290913594211,,
BFA,Burkina Faso,2020-10,2020-10-01,WB_BPS_SECTOR_OS,Sector: Other Services,29.24,-32.6,78.21,,10.15,6.22,15.33,12.78,4.02,41.34,13.61,8.22,3.362,,,,,,,,,-0.456729951959908,32.6,-0.447302937930147,,
