REF_AREA,REF_AREA_LABEL,TIME_PERIOD,time_date,STRATUM,STRATUM_LABEL,WB_BPS_ACCESS,WB_BPS_ARREARS,WB_BPS_CHANGE_SALES,WB_BPS_DROPSALES,WB_BPS_EXPECTATIONS_SALES,WB_BPS_ONLINE_SALES,WB_BPS_PLANTS_ABSENCE,WB_BPS_PLANTS_FIRED,WB_BPS_PLANTS_HOURS_CUT,WB_BPS_PLANTS_WAGES_CUT,WB_BPS_RCV_POLICY,WB_BPS_REMOTE_WORKERS,WB_BPS_USE_DIGITAL,WB_BPS_ORDERS_CANCEL,WB_BPS_STOP_SELL,WB_BPS_PROTOCOL_1,WB_BPS_PROTOCOL_2,WB_BPS_PROTOCOL_3,WB_BPS_PROTOCOL_4,WB_BPS_PROTOCOL_5,protocols_mean,ACI,change_sales_stress,CSI,ACI_l1,support_l1
AFG,Afghanistan,2020-06,2020-06-01,TOTAL,Total,1.81,74.09,-71.39,92.45,-28.53,29.31,69.43,37.56,17.36,16.58,0.78,2.04,50,,,,,,,,,0.0169211188936528,71.39,1.17987643637548,,
ARG,Argentina,2021-06,2021-06-01,TOTAL,Total,43.58,17.41,-7.28,49.51,7.09,19.71,13.67,1.44,11.22,5.37,21.375,9.62,58.57,22.72,28.31,,,,,,,0.266983897149488,7.28,-1.05732907714116,,
BEN,Benin,2021-06,2021-06-01,TOTAL,Total,4.17,,-7.15,34.18,,,8.64,4.79,5.74,4.69,1.252,3.36,46.04,,,,,,,,,-0.413589554313532,7.15,-1.35577647300391,,
BFA,Burkina Faso,2020-10,2020-10-01,TOTAL,Total,12.89,27.43,-32.75,79.2,,7.3,7.32,4.81,14.06,9.86,3.178,3.72,36.85,,,,,,,,,-0.703948829396297,32.75,-0.60019722694581,,
BGD,Bangladesh,2020-06,2020-06-01,TOTAL,Total,1.8,88,-61.62,95.55,,,37,18.2,58.2,41.4,0.533333333333333,14.94,17.54,,,,,,,,,-0.305125859039381,61.62,1.2587074046005,,
BGD,Bangladesh,2021-07,2021-07-01,TOTAL,Total,6.25,55.83,-42.66,80.24,1.39,,,12.71,,,1.08666666666667,9.64,10.89,23.74,47.67,,,,,,,-0.849424728119754,42.66,0.239422880297423,-0.305125859039381,1.8
BGR,Bulgaria,2020-05,2020-05-01,TOTAL,Total,9.29,27.34,-38.04,74.64,-9.72,17.16,45.73,29.2,20.83,19.47,2.008,9.53,28.42,,,,,,,,,-0.309383474839943,38.04,0.172981145819124,,
BGR,Bulgaria,2020-11,2020-11-01,TOTAL,Total,23.67,25.41,-27.86,62.83,-20.85,17.68,28.99,16.65,10.58,8.21,4.54,11.85,41.65,,,84.75,29.02,56.57,34.71,28.89,46.788,0.0726410081239491,27.86,-0.504650297537656,-0.309383474839943,9.29
BGR,Bulgaria,2021-05,2021-05-01,TOTAL,Total,29.17,10.49,-22.34,52.17,4.71,13.67,,15.36,,,,11.62,43.73,12.47,36.57,,,,,,,-0.0458711958789039,22.34,-0.83817818015451,0.0726410081239491,23.67
BRA,Brazil,2020-06,2020-06-01,TOTAL,Total,25.27,,-52.16,86.16,,,,39.52,41.4,29,5.715,6.98,69.78,,,,,,,,,0.440372430858434,52.16,1.03475124770547,,
BRA,Brazil,2020-12,2020-12-01,TOTAL,Total,,43.26,-22.73,61.18,,32.42,9.11,11.73,25.26,12.14,,3.53,85.2,,,,,,,,,0.759053994444936,22.73,-0.503777203675185,0.440372430858434,25.27
CHL,Chile,2021-07,2021-07-01,TOTAL,Total,49.28,18.69,-13.53,51.57,15.19,40.17,51.41,23.83,40.55,30.06,22.395,21.43,69.79,32.71,32.99,,,,,,,1.55483639939612,13.53,-0.0734606592806209,,
CIV,Cote d'Ivoire,2020-04,2020-04-01,TOTAL,Total,,,-64.76,95.72,,,49.1,2.01,52.33,35.69,,,,,,,,,,,,,64.76,0.866555520855281,,
DZA,Algeria,2020-08,2020-08-01,TOTAL,Total,6.35,,-47.78,79.24,,21.08,58.91,20.68,30.92,16.59,1.1,5.63,57.53,,,,,,,,,0.0963491805343056,47.78,0.525513882121025,,
GAB,Gabon,2020-05,2020-05-01,TOTAL,Total,36.75,68.26,-54.09,87.23,,,,22.76,71,37.03,11.27,,52.03,,,,,,,,,,54.09,1.18877172345002,,
GHA,Ghana,2020-06,2020-06-01,TOTAL,Total,3.47,,-46.58,88.17,,3.43,15.83,3.74,31.95,38.04,0.7725,1.94,16.51,,,,,,,,,-1.23105848460531,46.58,0.191758883431338,,
GHA,Ghana,2020-09,2020-09-01,TOTAL,Total,11.18,,-41.93,85.33,,,4.1,0.91,20,28.41,1.858,,24.06,,,,,,,,,,41.93,-0.243097924130593,-1.23105848460531,3.47
HRV,Croatia,2021-05,2021-05-01,TOTAL,Total,67.83,29.57,-12.06,49.1,5.25,27.83,13.7,21.52,10.65,15.43,22.9975,,58.33,15.54,,,,,,,,0.677194562278597,12.06,-0.697142737006257,,
IDN,Indonesia,2020-06,2020-06-01,TOTAL,Total,6.78,15.15,-54.74,86.32,-12.1,34.78,16.33,12.45,30.12,13.76,1.1525,11.72,70.15,,,,,,,,,0.95793875107152,54.74,-0.125477983266897,,
IDN,Indonesia,2020-10,2020-10-01,TOTAL,Total,47.68,37.34,-47.09,82.45,2.96,38.78,7.14,5.64,24.51,13.51,9.738,11.37,70.72,,,93.28,14.12,67.79,39.02,18.2,46.482,0.832015571748261,47.09,-0.262337438843765,0.95793875107152,6.78
IDN,Indonesia,2021-03,2021-03-01,TOTAL,Total,61.15,,,,,32.24,1.98,3.17,,,,7.36,,,,,,,,,,0.42693022407384,,,0.832015571748261,47.68
IND,India,2020-06,2020-06-01,TOTAL,Total,,53.57,-55.34,87.07,-22.67,27.32,54.27,20.56,38.46,43.36,,28.29,,,,,,,,,,1.72218219878029,55.34,0.92373262165889,,
